,img_size(KB),end_edge_time,edge_cloud_time,plate_size,seg_edge_cloud_time,cloud_all_processing_time,cloud_gpu_rec_time,cloud_gpu_utilization,edge_cpu_det_time,edge_cpu_percent,no_seg_time,after_seg_time
2850,815.62,0.072122653,0.498902582,16.88,0.010322122,0.01633954,0.005422831,0.01,0.007467031,94.2,0.587364775,0.095334637
2851,815.62,0.080913737,0.54037883,14.83,0.009828011,0.022301435,0.004202127,0.02,0.010283947,96.9,0.643594003,0.105227822
2852,815.62,0.07700161,0.48188025,21.86,0.012915914,0.010271311,0.004270077,0.02,0.006052256,94.6,0.56915317,0.100239856
2853,815.62,0.084648939,0.493262668,25.95,0.01569558,0.014256477,0.004341602,0.01,0.007826328,93.8,0.592168085,0.11251245
2854,815.62,0.070737845,0.501711156,40.54,0.024938985,0.010930777,0.004418373,0.01,0.004972458,95.5,0.583379778,0.105067661
2855,815.62,0.086707932,0.369896967,14.98,0.006792074,0.011549234,0.004315853,0.02,0.007966518,96.9,0.468154134,0.105782377
2856,815.62,0.086104367,0.368642181,23.02,0.010403813,0.011090755,0.004451036,0.01,0.007558584,96.8,0.465837303,0.108517801
2857,815.62,0.087601921,0.359100034,14.98,0.00659382,0.010493279,0.005178213,0.01,0.012386799,96,0.457195234,0.111760753
2858,815.62,0.092212542,0.377587275,42.01,0.019446287,0.012120724,0.004304171,0.01,0.005045414,95.6,0.481920541,0.121008414
2859,815.62,0.068869391,0.400976421,25.29,0.012431613,0.019913435,0.004217148,0.01,0.016090631,96,0.489759247,0.101608784
2860,815.62,0.089255024,0.447014878,15.07,0.008257358,0.009140491,0.004227161,0.01,0.004200697,96.9,0.545410394,0.105940241
2861,815.62,0.081878825,0.385073333,25.88,0.012220269,0.011018991,0.004217863,0.02,0.009833336,94.9,0.477971149,0.108150293
2862,815.62,0.078128881,0.36466808,28.19,0.012603579,0.011500835,0.004276752,0.01,0.003811359,96.5,0.454297797,0.098820572
2863,815.62,0.093034221,0.42977025,25.2,0.013276978,0.010069847,0.004471064,0.01,0.005348206,94.8,0.532874318,0.116130468
2864,815.62,0.098248873,0.326339034,22,0.008802402,0.011754274,0.004241467,0.02,0.004452944,96.4,0.436342181,0.115745684
2865,815.62,0.075287313,0.519950779,20.62,0.013145068,0.008171797,0.004436731,0.02,0.017218113,94,0.603409888,0.110087225
2866,815.62,0.092786222,0.36219728,29.79,0.013226792,0.012858868,0.004517794,0.01,0.008858681,97.8,0.46784237,0.119389489
2867,815.62,0.087022209,0.345892131,14.89,0.006314436,0.009926796,0.004230022,0.01,0.008469105,94.3,0.442841135,0.106035772
2868,815.62,0.082546326,0.379407996,30.66,0.014264142,0.014381409,0.005036116,0.01,0.008417368,94.9,0.476335731,0.110263951
2869,815.62,0.08847147,0.391347351,15.44,0.007407111,0.01124239,0.004237413,0.02,0.009444714,95,0.491061211,0.109560708
2870,815.62,0.086080031,0.343880392,23.68,0.009985377,0.011567116,0.004236698,0.01,0.008317232,97.8,0.441527539,0.108619338
2871,815.62,0.084024478,0.484706215,14.51,0.008624544,0.011385202,0.004206657,0.02,0.004443407,95.7,0.580115895,0.101299086
2872,815.62,0.079430754,0.51246043,39.7,0.02494195,0.01161623,0.004407167,0.01,0.002527952,96.6,0.603507414,0.111307823
2873,815.62,0.068611833,0.507649187,31.11,0.019362027,0.01435113,0.004304886,0.01,0.005708456,94.6,0.590612149,0.097987201
2874,815.62,0.069172165,0.371941459,9.06,0.004132683,0.008663893,0.004328489,0.02,0.011936903,94.4,0.449777518,0.089570241
2875,815.62,0.095857445,0.372924982,24.53,0.011217666,0.011172056,0.007441521,0.01,0.005936861,94.9,0.479954483,0.120453492
2876,815.62,0.070913342,0.418678941,20.32,0.010429377,0.01019001,0.005147696,0.01,0.010525227,97.8,0.499782293,0.097015641
2877,815.62,0.08177079,0.479383859,14.35,0.00843571,0.008859396,0.004169703,0.02,0.020630598,95.5,0.570014045,0.1150068
2878,815.62,0.089020303,0.342943052,20.08,0.008442181,0.008912325,0.004331827,0.01,0.00602603,95.6,0.440875681,0.107820341
2879,815.62,0.077310646,0.47289635,30.08,0.017439185,0.019306183,0.004288197,0.01,0.012140512,97.8,0.569513178,0.11117854
2880,815.62,0.073038786,0.498094096,37.93,0.023165669,0.013968229,0.004344702,0.02,0.005884409,94.6,0.585101111,0.106433566
2881,815.62,0.079166265,0.43165963,38.23,0.020234562,0.011983395,0.004277706,0.01,0.010298967,95.1,0.52280929,0.1139775
2882,815.62,0.077515254,0.385624313,24.15,0.011420057,0.011879683,0.004450798,0.01,0.00925827,96.8,0.475019249,0.102644379
2883,815.62,0.07438907,0.388459787,32.35,0.0154063,0.012043476,0.00431633,0.02,0.006233215,94.8,0.474892334,0.100344916
2884,815.62,0.072146571,0.336995503,28.73,0.011868681,0.010943651,0.004389048,0.01,0.004901648,96.7,0.420085726,0.093305948
2885,815.62,0.082884014,0.329982718,39.2,0.015859478,0.011217594,0.004326582,0.02,0.0100317,96.1,0.424084325,0.113101774
2886,815.62,0.086407425,0.410209291,33.02,0.016605814,0.016208172,0.004256964,0.01,0.008957386,97,0.512824888,0.116227589
2887,815.62,0.074883641,0.449801486,19.02,0.010491598,0.011184216,0.004369974,0.02,0.004728317,96.5,0.535869343,0.094473531
2888,815.62,0.068611768,0.406691424,26.43,0.013178029,0.008570671,0.00447154,0.01,0.011217594,95.2,0.483873863,0.097478932
2889,815.62,0.07722864,0.435504462,32.32,0.017259576,0.011793613,0.00438714,0.01,0.017048359,95.2,0.524526716,0.115923715
2890,815.62,0.097845595,0.474147336,24.89,0.014471372,0.009605408,0.004250526,0.02,0.007832766,94.8,0.581598338,0.124400259
2891,815.62,0.092632671,0.467816343,15.97,0.009160283,0.008174896,0.004287958,0.01,0.015120506,95.1,0.56862391,0.121201418
2892,815.62,0.073957249,0.406224563,28.19,0.014038872,0.011316776,0.004777193,0.01,0.008106947,95.9,0.491498588,0.100880261
2893,815.62,0.069347711,0.409211284,22.78,0.011427245,0.009990454,0.004207134,0.02,0.004538774,95.6,0.488549449,0.089520865
2894,815.62,0.085578648,0.4931057,26.53,0.016038924,0.011773825,0.004258871,0.01,0.009078264,95.8,0.590458174,0.114954708
2895,815.62,0.07157177,0.430597725,34.78,0.018362271,0.012191057,0.004313469,0.01,0.006363869,96.7,0.514360552,0.100611378
2896,815.62,0.093061603,0.521960955,10.57,0.006764494,0.011141539,0.004224539,0.01,0.010061264,94.2,0.626164097,0.1141119
