,img_size(KB),end_edge_time,edge_cloud_time,plate_size,seg_edge_cloud_time,cloud_all_processing_time,cloud_gpu_rec_time,cloud_gpu_utilization,edge_cpu_det_time,edge_cpu_percent ,no_seg_time,after_seg_time
265,815.62,0.091797226,0.48193916,41.51,0.004526854,0.01817441,0.004576683,0.02,0.023536682,100,0.591910796,0.123200811
266,815.62,0.084880195,0.407919607,21.4,0.003327608,0.018334389,0.004311562,0.02,0.024199486,96.7,0.511134191,0.115924716
267,815.62,0.071824024,0.416925235,48.63,0.00342679,0.018180847,0.004673719,0.02,0.041049004,97.6,0.506930106,0.122388283
268,815.62,0.071185499,0.389865812,35.38,0.003243208,0.02099967,0.005095005,0.02,0.024395227,96.7,0.482050981,0.104055213
269,815.62,0.098010793,0.388679952,44.09,0.003280401,0.021318197,0.004892111,0.02,0.024630785,96.7,0.508008942,0.131826213
270,815.62,0.075762406,0.408706857,34.27,0.003629684,0.018779278,0.005461931,0.02,0.024434328,100,0.503248541,0.108840426
271,815.62,0.071578591,0.452242504,57.19,0.00339222,0.018748999,0.004775286,0.02,0.024356127,96.6,0.542570094,0.103777584
272,815.62,0.078533823,0.487111023,30.15,0.003250837,0.019296646,0.004353523,0.01,0.024265766,100,0.584941492,0.112503539
273,815.62,0.07983314,0.352454414,27.97,0.003412724,0.021127701,0.004754782,0.01,0.030204296,93.8,0.453415255,0.120138956
274,815.62,0.094951409,0.364860331,37.3,0.003407955,0.017982006,0.004502296,0.02,0.024317741,100,0.477793746,0.128051489
275,815.62,0.076228654,0.390508743,21.99,0.003422976,0.017802238,0.004311085,0.02,0.024535179,96.3,0.484539635,0.109212913
276,815.62,0.073216221,0.492207488,34.15,0.003365755,0.01806879,0.004412413,0.02,0.024278402,96.3,0.583492499,0.106442897
277,815.62,0.082103876,0.37016756,8.95,0.003214359,0.017894983,0.004317045,0.02,0.024549723,96.3,0.470166419,0.115204229
278,815.62,0.075212526,0.534740917,7.97,0.003168821,0.019527912,0.004564762,0.02,0.024423599,100,0.629481355,0.109621777
279,815.62,0.078694822,0.390512092,39.56,0.003302574,0.017501593,0.004338503,0.02,0.024455547,96.7,0.486708507,0.110993169
280,815.62,0.076505661,0.496650336,35.46,0.003334522,0.019104958,0.005074739,0.02,0.024569035,96.3,0.592260955,0.109251076
281,815.62,0.096626883,0.342723614,31.99,0.003386974,0.021714449,0.005209208,0.02,0.02468133,96.3,0.461064946,0.129491113
282,815.62,0.072238358,0.487174855,40.82,0.003456831,0.021600485,0.004927158,0.02,0.025820017,96.7,0.581013698,0.10711835
283,815.62,0.076665093,0.330379961,8.18,0.003225088,0.01851058,0.004158497,0.02,0.025700569,100,0.425555634,0.109451886
284,815.62,0.095059143,0.464865075,63.66,0.003592491,0.020795822,0.005088806,0.02,0.025474548,96.9,0.58072004,0.128985621
285,815.62,0.099782656,0.491225789,32.98,0.003286839,0.021724939,0.005127907,0.02,0.02440238,96.4,0.612733384,0.133980774
286,815.62,0.082399304,0.442749347,38.45,0.003440142,0.018798828,0.004476547,0.02,0.024416685,100,0.543947479,0.116475591
287,815.62,0.08107755,0.466510209,9.84,0.003215313,0.01713562,0.003973722,0.02,0.024611473,94.3,0.564723379,0.113368349
288,815.62,0.085484413,0.397768178,39.41,0.00336051,0.020319939,0.004576445,0.02,0.024123669,100,0.50357253,0.117312602
289,815.62,0.082779697,0.405701049,33.09,0.003299713,0.018121719,0.004546881,0.02,0.024536371,96.7,0.506602465,0.116435461
290,815.62,0.094853044,0.376701501,39.18,0.003288984,0.017721653,0.004385471,0.02,0.024458885,100,0.489276198,0.126872937
291,815.62,0.077515711,0.483703595,36.09,0.003304243,0.017591953,0.004384756,0.01,0.024544477,96.3,0.578811259,0.109837178
292,815.62,0.077173023,0.401879409,31.87,0.003306627,0.018068075,0.00442028,0.01,0.024531841,96.7,0.497120507,0.109574709
293,815.62,0.082757685,0.344239864,36.63,0.003391743,0.017827749,0.004335642,0.02,0.024192095,100,0.444825298,0.114819112
294,815.62,0.08184426,0.355627613,39.87,0.003546476,0.01856637,0.004332304,0.02,0.024541616,93.7,0.456038243,0.114089369
295,815.62,0.079346275,0.373310429,34.17,0.003325462,0.018576622,0.004769087,0.02,0.024686337,96.7,0.471233326,0.111595542
296,815.62,0.070332534,0.410437282,28.2,0.003237009,0.017660618,0.004280567,0.02,0.040625572,100,0.498430434,0.118638327
297,815.62,0.089422772,0.524088639,31.73,0.003255844,0.01826334,0.004229546,0.02,0.024412155,96.3,0.631774751,0.121979591
298,815.62,0.072273799,0.383276474,30.42,0.003211021,0.018145561,0.004426003,0.02,0.024331808,96.3,0.473695834,0.103829775
299,815.62,0.080896739,0.44212509,35.43,0.003264427,0.017891645,0.004372835,0.02,0.02362299,100,0.540913474,0.112734735
300,815.62,0.100747746,0.395594445,76.41,0.003490686,0.019805908,0.004789114,0.02,0.024559021,96.7,0.516148099,0.134475816
301,815.62,0.081810405,0.516731812,31.98,0.003396034,0.017677546,0.004273415,0.02,0.024307966,96.3,0.616219763,0.114227404
302,815.62,0.076303405,0.489042164,31.02,0.003395796,0.017576218,0.004327774,0.02,0.024943829,100,0.582921787,0.11083001
303,815.62,0.083058502,0.533937227,35.2,0.003370285,0.01735425,0.004165411,0.02,0.025114775,96.7,0.634349979,0.116767388
304,815.62,0.078406688,0.340576276,25.44,0.003309488,0.017911911,0.004256725,0.02,0.02400136,100,0.436894875,0.110369751
305,815.62,0.073369704,0.399029233,6.28,0.003263235,0.016157866,0.003826857,0.02,0.02443099,96.7,0.488556803,0.105104003
306,815.62,0.076739979,0.349425748,33.79,0.003348112,0.017520666,0.004328489,0.02,0.024537563,96.3,0.443686393,0.109469302
307,815.62,0.08109527,0.367349969,37.15,0.003335714,0.017415047,0.004265547,0.02,0.024368763,96.3,0.465860286,0.114856659
308,815.62,0.092151971,0.50596433,31.73,0.00328207,0.01779747,0.004379511,0.02,0.024454832,96.3,0.615913771,0.124924216
309,815.62,0.094518015,0.470773872,32.38,0.003332376,0.017682314,0.004285336,0.02,0.024550438,96.3,0.582974201,0.127942318
310,815.62,0.08778469,0.523777108,36.38,0.003284454,0.018474579,0.004487514,0.02,0.024323702,96.7,0.630036377,0.120739476
311,815.62,0.07925527,0.348804818,42.64,0.0034132,0.017832518,0.004300594,0.02,0.024724722,96.6,0.445892606,0.111326635
312,815.62,0.089366465,0.372010775,8.27,0.003100157,0.020539761,0.004098654,0.02,0.023726702,100,0.481917001,0.120336264
313,815.62,0.089176588,0.330597716,36.17,0.003314495,0.019936323,0.005211592,0.02,0.024518251,96.6,0.439710627,0.12338579
314,815.62,0.076557009,0.329981728,35.38,0.003262758,0.019638538,0.00465703,0.02,0.025227785,100,0.426177275,0.110063433
315,815.62,0.076546862,0.485693316,33.07,0.0032866,0.018335342,0.005018711,0.01,0.024497986,96.7,0.58057552,0.109616754
316,815.62,0.073134986,0.334623326,35.16,0.003284454,0.018072605,0.004440784,0.01,0.02454567,96.7,0.425830917,0.105103431
317,815.62,0.069526705,0.495819303,31.85,0.003281832,0.018885612,0.005083799,0.02,0.024567366,96.7,0.58423162,0.102411284
